read_count,sample_ID,subtype
4758,SA_10_4,10_4/SA_10_4_H3N2
1,SA_10_4,10_4/SA_10_4_H6N1
1,SA_10_4,10_4/SA_10_4_H6N2
10256,SA_10_5,10_5/SA_10_5_ambiguous
31483,SA_10_5,10_5/SA_10_5_H1N1
6,SA_10_5,10_5/SA_10_5_H1N2
4788,SA_10_5,10_5/SA_10_5_H3N2
9945,SA_10_6,10_6/SA_10_6_ambiguous
31694,SA_10_6,10_6/SA_10_6_H1N1
8,SA_10_6,10_6/SA_10_6_H1N2
4647,SA_10_6,10_6/SA_10_6_H3N2
1,SA_10_6,10_6/SA_10_6_H4N6
10085,SA_10_7,10_7/SA_10_7_ambiguous
32013,SA_10_7,10_7/SA_10_7_H1N1
6,SA_10_7,10_7/SA_10_7_H1N2
4787,SA_10_7,10_7/SA_10_7_H3N2
1,SA_10_7,10_7/SA_10_7_H4N6
10246,SA_10_8,10_8/SA_10_8_ambiguous
32174,SA_10_8,10_8/SA_10_8_H1N1
9,SA_10_8,10_8/SA_10_8_H1N2
4749,SA_10_8,10_8/SA_10_8_H3N2
1,SA_10_8,10_8/SA_10_8_H3N8
2,SA_10_8,10_8/SA_10_8_H5N8
10098,SA_10_9,10_9/SA_10_9_ambiguous
32205,SA_10_9,10_9/SA_10_9_H1N1
7,SA_10_9,10_9/SA_10_9_H1N2
1,SA_10_9,10_9/SA_10_9_H3N1
4761,SA_10_9,10_9/SA_10_9_H3N2
3282,SA_11,11/SA_11_ambiguous
48,SA_11,11/SA_11_H1N1
23363,SA_11,11/SA_11_H3N2
29,SA_12,12/SA_12_ambiguous
39744,SA_12,12/SA_12_H1N1
1,SA_12,12/SA_12_H3N1
12143,SA_12,12/SA_12_H3N2
19636,SA_13,13/SA_13_ambiguous
152,SA_13,13/SA_13_H1N1
90874,SA_13,13/SA_13_H3N2
1683,SA_14,14/SA_14_ambiguous
28368,SA_14,14/SA_14_H1N1
36,SA_14,14/SA_14_H3N2
10,SA_15,15/SA_15_ambiguous
44,SA_15,15/SA_15_H1N1
33,SA_15,15/SA_15_H3N2
23,SA_16,16/SA_16_ambiguous
112,SA_16,16/SA_16_H1N1
1,SA_16,16/SA_16_H1N2
58,SA_16,16/SA_16_H3N2
13,SA_17,17/SA_17_ambiguous
72,SA_17,17/SA_17_H1N1
57,SA_17,17/SA_17_H3N2
19,SA_18,18/SA_18_ambiguous
49,SA_18,18/SA_18_H1N1
32,SA_18,18/SA_18_H3N2
10,SA_19,19/SA_19_ambiguous
82,SA_19,19/SA_19_H1N1
26,SA_19,19/SA_19_H3N2
11,SA_1,1/SA_1_ambiguous
106,SA_1,1/SA_1_H1N1
59,SA_1,1/SA_1_H3N2
29,SA_2,2/SA_2_ambiguous
58,SA_2,2/SA_2_H1N1
58,SA_2,2/SA_2_H3N2
85,SA_3,3/SA_3_ambiguous
41768,SA_3,3/SA_3_H1N1
2,SA_3,3/SA_3_H1N2
43,SA_3,3/SA_3_H3N2
12,SA_4,4/SA_4_ambiguous
73,SA_4,4/SA_4_H1N1
33,SA_4,4/SA_4_H3N2
2,SA_5_10,5_10/SA_5_10_H1N1
4,SA_5_10,5_10/SA_5_10_H3N2
52,SA_5_11,5_11/SA_5_11_ambiguous
8,SA_5_11,5_11/SA_5_11_H1N1
7944,SA_5_11,5_11/SA_5_11_H3N2
1,SA_5_12_14,5_12_14/SA_5_12_14_H3N2
0,SA_5_12_17,5_12_17/SA_5_12_17_
1,SA_5_12_19,5_12_19/SA_5_12_19_ambiguous
1,SA_5_12_20,5_12_20/SA_5_12_20_H1N1
301,SA_5_12_22,5_12_22/SA_5_12_22_ambiguous
2571,SA_5_12_22,5_12_22/SA_5_12_22_H3N2
1064,SA_5_12_23,5_12_23/SA_5_12_23_ambiguous
17502,SA_5_12_23,5_12_23/SA_5_12_23_H3N2
41,SA_5_12_24,5_12_24/SA_5_12_24_ambiguous
21662,SA_5_12_24,5_12_24/SA_5_12_24_H3N2
497,SA_5_12_27,5_12_27/SA_5_12_27_ambiguous
2,SA_5_12_27,5_12_27/SA_5_12_27_H1N1
10751,SA_5_12_27,5_12_27/SA_5_12_27_H3N2
327,SA_5_12_28,5_12_28/SA_5_12_28_ambiguous
30778,SA_5_12_28,5_12_28/SA_5_12_28_H3N2
1,SA_5_12_7,5_12_7/SA_5_12_7_ambiguous
1,SA_5_12_7,5_12_7/SA_5_12_7_H1N1
7168,SA_5_13,5_13/SA_5_13_ambiguous
5,SA_5_13,5_13/SA_5_13_H1N1
57574,SA_5_13,5_13/SA_5_13_H3N2
104,SA_5_14,5_14/SA_5_14_ambiguous
29988,SA_5_14,5_14/SA_5_14_H3N2
20,SA_5_15,5_15/SA_5_15_ambiguous
3,SA_5_15,5_15/SA_5_15_H1N1
22336,SA_5_15,5_15/SA_5_15_H3N2
3,SA_5_16,5_16/SA_5_16_ambiguous
6,SA_5_16,5_16/SA_5_16_H1N1
65,SA_5_16,5_16/SA_5_16_H3N2
5,SA_5_17,5_17/SA_5_17_ambiguous
4,SA_5_17,5_17/SA_5_17_H1N1
102,SA_5_17,5_17/SA_5_17_H3N2
5,SA_5_18,5_18/SA_5_18_ambiguous
3,SA_5_18,5_18/SA_5_18_H1N1
72,SA_5_18,5_18/SA_5_18_H3N2
6,SA_5_19,5_19/SA_5_19_ambiguous
1,SA_5_19,5_19/SA_5_19_H1N1
61,SA_5_19,5_19/SA_5_19_H3N2
10,SA_5_1,5_1/SA_5_1_ambiguous
1,SA_5_1,5_1/SA_5_1_H1N1
14,SA_5_1,5_1/SA_5_1_H3N2
9,SA_5_20,5_20/SA_5_20_ambiguous
3,SA_5_20,5_20/SA_5_20_H1N1
84,SA_5_20,5_20/SA_5_20_H3N2
8,SA_5_21,5_21/SA_5_21_ambiguous
5,SA_5_21,5_21/SA_5_21_H1N1
71,SA_5_21,5_21/SA_5_21_H3N2
8,SA_5_22,5_22/SA_5_22_ambiguous
1,SA_5_22,5_22/SA_5_22_H1N1
120,SA_5_22,5_22/SA_5_22_H3N2
2,SA_5_23,5_23/SA_5_23_ambiguous
3,SA_5_23,5_23/SA_5_23_H1N1
77,SA_5_23,5_23/SA_5_23_H3N2
